problem_id	ground_answer	run_id	llm_id	judge_score	solver_score
problem_001	2	648073e146864e848958ab316d0c216a	gpt-5-mini	0.35	1.0
problem_001	2	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_001	2	648073e146864e848958ab316d0c216a	gemini-3-pro	0.95	0.95
problem_001	2	648073e146864e848958ab316d0c216a	gemini-3-flash	1.0	1.0
problem_002	3	648073e146864e848958ab316d0c216a	gpt-5-mini	0.9	0.95
problem_002	3	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0
problem_002	3	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_002	3	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_003	18	648073e146864e848958ab316d0c216a	gemini-3-flash	0.8	0.9
problem_003	18	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_003	18	648073e146864e848958ab316d0c216a	gpt-5-mini	0.85	0.95
problem_003	18	648073e146864e848958ab316d0c216a	gemini-3-pro	0.95	0.95
problem_004	17	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_004	17	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_004	17	648073e146864e848958ab316d0c216a	gpt-5-mini	0.25	0.95
problem_004	17	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0
problem_005	no	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_005	no	648073e146864e848958ab316d0c216a	gemini-3-flash	1.0	1.0
problem_005	no	648073e146864e848958ab316d0c216a	gpt-5-mini	0.8	1.0
problem_005	no	648073e146864e848958ab316d0c216a	gemini-3-pro	0.95	0.95
problem_006	Player 1	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0
problem_006	Player 1	648073e146864e848958ab316d0c216a	gpt-5-mini	0.2	1.0
problem_006	Player 1	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.95
problem_006	Player 1	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_007	1	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	0.95
problem_007	1	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_007	1	648073e146864e848958ab316d0c216a	gemini-3-pro	0.95	0.95
problem_007	1	648073e146864e848958ab316d0c216a	gpt-5-mini	0.95	0.95
problem_008	1	648073e146864e848958ab316d0c216a	gpt-5-mini	0.6	0.98
problem_008	1	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0
problem_008	1	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_008	1	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_009	Levan	648073e146864e848958ab316d0c216a	gpt-5-mini	0.7	0.95
problem_009	Levan	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.95
problem_009	Levan	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_009	Levan	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	0.95
problem_010	15	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.95
problem_010	15	648073e146864e848958ab316d0c216a	gpt-5-mini	0.1	0.95
problem_010	15	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_010	15	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	0.95
problem_011	no	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.95
problem_011	no	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0
problem_011	no	648073e146864e848958ab316d0c216a	gpt-5-mini	0.9	1.0
problem_011	no	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.9
problem_012	2971	648073e146864e848958ab316d0c216a	gemini-3-pro	0.85	0.95
problem_012	2971	648073e146864e848958ab316d0c216a	gpt-4.1	0.92	0.97
problem_012	2971	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	0.95
problem_012	2971	648073e146864e848958ab316d0c216a	gpt-5-mini	1.0	1.0
problem_013	pi/6	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_013	pi/6	648073e146864e848958ab316d0c216a	gpt-5-mini	0.7	0.95
problem_013	pi/6	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.95
problem_013	pi/6	648073e146864e848958ab316d0c216a	gemini-3-flash	1.0	1.0
problem_014	1/4	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_014	1/4	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_014	1/4	648073e146864e848958ab316d0c216a	gpt-5-mini	0.9	0.95
problem_014	1/4	648073e146864e848958ab316d0c216a	gemini-3-flash	0.8	1.0
problem_015	3	648073e146864e848958ab316d0c216a	gemini-3-flash	0.9	1.0
problem_015	3	648073e146864e848958ab316d0c216a	gpt-5-mini	0.35	0.95
problem_015	3	648073e146864e848958ab316d0c216a	gemini-3-pro	0.9	0.95
problem_015	3	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	1.0
problem_016	B	44b6ef7363d0491e903fe248294a74b7	gemini-3-pro	0.9	1.0
problem_016	B	44b6ef7363d0491e903fe248294a74b7	gpt-4.1	0.9	1.0
problem_016	B	648073e146864e848958ab316d0c216a	gpt-4.1	0.95	0.95
problem_016	B	648073e146864e848958ab316d0c216a	gemini-3-flash	0.95	1.0
problem_016	B	648073e146864e848958ab316d0c216a	gpt-5-mini	0.8	0.95
problem_016	B	648073e146864e848958ab316d0c216a	gemini-3-pro	0.95	0.95
problem_016	B	44b6ef7363d0491e903fe248294a74b7	gemini-3-flash	0.9	1.0
problem_016	B	44b6ef7363d0491e903fe248294a74b7	gpt-5-mini	0.9	1.0
