subcategory	statement	difficulty	problem_id	ground_answer	category	_document_id
Counterfeit Coins	You have 8 real coins and 1 fake coin. All real coins weigh the same, and the fake coin weighs less. You are given a two-plate balance scale that only tells which side is heavier. What is the minimum number of weighings required to determine the fake coin?	medium	problem_001	2	Logic Puzzles & Constraint Satisfaction	problem_001
Counterfeit Coins	You have 11 real coins and 1 fake coin. All real coins weigh the same, but the fake coin may weigh either more or less. You are given a two-plate balance scale that only tells which side is heavier. What is the minimum number of weighings required to determine the fake coin?	hard	problem_002	3	Logic Puzzles & Constraint Satisfaction	problem_002
Liars and Truth Tellers	"There are 24 people on an island, each of whom is either a liar or a truth-teller. To determine the number of liars, each person is asked: ""How many liars are on the island?"" The nth person replies that the number of liars is a multiple of n, for n = 1, 2, …, 24. How many liars are on the island?"	hard	problem_003	18	Logic Puzzles & Constraint Satisfaction	problem_003
Rates and Motion	At the bottom of a 20-meter-deep hole there is a frog. Each day it climbs 4 meters upward, and each night it slips back down 3 meters. On which day does the frog escape the hole?	easy	problem_004	17	Mathematical/Logical Reasoning	problem_004
Tiling Problems	An 8×8 chessboard has the two squares at the ends of its main diagonal removed. Is it possible to tile the remaining board completely using 1×2 dominoes?	medium	problem_005	no	Mathematical/Logical Reasoning	problem_005
Combinatorial Games	Two players play a game on a perfectly round table. Each player has an unlimited number of identical coins. On each turn, a player places one coin on the table such that it does not overlap or move any existing coins. The player who cannot make a legal move loses. If Player 1 starts and both players play optimally, who will win the game?	hard	problem_006	Player 1	Strategic Game Theory	problem_006
Weighing Puzzles	You have 10 bags of coins. Nine bags contain only real coins weighing 10 grams each, and one bag contains only fake coins weighing 9 grams each. You have a scale that tells the exact weight in grams. What is the minimum number of weighings needed to determine which bag contains the fake coins?	easy	problem_007	1	Logic Puzzles & Constraint Satisfaction	problem_007
Weighing Puzzles	You have 10 bags of coins. Some bags contain only real coins weighing 10 grams each, and some contain only fake coins weighing 9 grams each. You have a scale that tells the exact weight in grams. What is the minimum number of weighings needed to determine which bags contain fake coins?	medium	problem_008	1	Logic Puzzles & Constraint Satisfaction	problem_008
Truth Statements	"Nika claims that people who live on ""liars island"" never tell the truth. Levan claims that Nika's statement is false. It is known that Nika lives on liars island and Levan has never been there. Who is telling the truth?"	medium	problem_009	Levan	Logic Puzzles & Constraint Satisfaction	problem_009
Optimization and Scheduling	To make one side of a fish edible, it must be cooked on a hot stove for 5 minutes. The stove can cook at most two fish at the same time. What is the minimum total time needed to make three fish edible on one side?	easy	problem_010	15	Mathematical/Logical Reasoning	problem_010
