run_id	problem_id	is_correct_answer	llm_id	winner_solver_id	answer
648073e146864e848958ab316d0c216a	problem_011	True	gpt-4.1	gpt-5-mini	It depends: Yes if the northward 100 km leg does not reach or cross the North Pole (i.e., if the start is at least 100 km from the North Pole). If the north leg crosses the North Pole (start is within 100 km of the Pole but not exactly at it) the helicopter will not return to the starting point. If the north leg ends exactly at the Pole the east/west instructions are undefined and the outcome is ambiguous.
adabfb86ed944528bf7ebf9facb5ae0a	problem_001	True	gemini-3-pro	gemini-3-flash	2
648073e146864e848958ab316d0c216a	problem_006	True	gpt-4.1	gemini-3-pro	Player 1
9596f230c36d49adb2ea1242f3f13ecf	problem_022	True	gemini-3-flash	gemini-3-pro-1	45
648073e146864e848958ab316d0c216a	problem_009	True	gpt-4.1	gemini-3-flash	Levan
44b6ef7363d0491e903fe248294a74b7	problem_018	True	gemini-3-pro	gpt-4.1	0.5
648073e146864e848958ab316d0c216a	problem_012	True	gpt-5-mini	gemini-3-pro	2971
648073e146864e848958ab316d0c216a	problem_005	True	gemini-3-flash	gpt-5-mini	No
adabfb86ed944528bf7ebf9facb5ae0a	problem_002	True	gemini-3-pro	gpt-4.1	3
648073e146864e848958ab316d0c216a	problem_007	True	gpt-5-mini	gemini-3-flash	1
648073e146864e848958ab316d0c216a	problem_010	True	gpt-4.1	gpt-5-mini	The problem is ambiguous. If cooking a single side may be interrupted and resumed (preemptive), the minimum time is 7.5 minutes. If each 5-minute cook must be done as an uninterrupted atomic task (non-preemptive), the minimum time is 10 minutes.
9596f230c36d49adb2ea1242f3f13ecf	problem_021	True	gpt-5-mini	gemini-3-pro	499500
648073e146864e848958ab316d0c216a	problem_013	True	gemini-3-flash	gemini-3-pro	π/6
648073e146864e848958ab316d0c216a	problem_004	True	gemini-3-pro	gemini-3-flash	17
648073e146864e848958ab316d0c216a	problem_003	True	gemini-3-pro	gpt-5-mini	0 or 18
648073e146864e848958ab316d0c216a	problem_014	True	gpt-5-mini	gemini-3-pro	1/4
9596f230c36d49adb2ea1242f3f13ecf	problem_023	True	gpt-4.1	gemini-3-pro	All pairs (m, n) such that 3 divides m or 3 divides n
adabfb86ed944528bf7ebf9facb5ae0a	problem_003	True	gpt-4.1	gpt-5-mini	0 or 18
adabfb86ed944528bf7ebf9facb5ae0a	problem_004	True	gemini-3-flash	gemini-3-pro	17th day
648073e146864e848958ab316d0c216a	problem_001	True	gemini-3-flash	gpt-5-mini	2
648073e146864e848958ab316d0c216a	problem_017	True	gemini-3-pro	gemini-3-flash	13/27
648073e146864e848958ab316d0c216a	problem_008	True	gemini-3-pro	gemini-3-flash	1
d5e8ec791f4a40cfa9b0f0a67483cb75	problem_020	True	gemini-3-pro	gemini-3-flash	3
44b6ef7363d0491e903fe248294a74b7	problem_016	True	gemini-3-pro	gpt-5-mini	A: Knight, B: Spy, C: Knave
648073e146864e848958ab316d0c216a	problem_002	True	gpt-5-mini	gemini-3-flash	3
44b6ef7363d0491e903fe248294a74b7	problem_019	False	gemini-3-pro	gemini-3-flash	33
648073e146864e848958ab316d0c216a	problem_015	True	gemini-3-pro	gpt-4.1	3
